technique,legacy_technique,name,tactic,revoked,data_sources$
T1588.001,,Malware,TA0042,false,$
T1185,,Man in the Browser,TA0009,false,Authentication logs;Packet capture;Process monitoring;API monitoring$
T1557,,Man-in-the-Middle,TA0006;TA0009,false,File monitoring;Netflow/Enclave netflow;Packet capture$
T1036.004,,Masquerade Task or Service,TA0005,false,Windows Registry;Process monitoring;Process command-line parameters;Windows event logs$
T1036,,Masquerading,TA0005,false,Process command-line parameters;File monitoring;Process monitoring;Binary file metadata$
T1036.005,,Match Legitimate Name or Location,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;Binary file metadata$
T1556,,Modify Authentication Process,TA0006;TA0005,false,File monitoring;Authentication logs;API monitoring;Windows Registry;Process monitoring;DLL monitoring$
T1578,,Modify Cloud Compute Infrastructure,TA0005,false,Stackdriver logs;GCP audit logs;Azure activity logs;AWS CloudTrail logs$
T1112,,Modify Registry,TA0005,false,Windows Registry;File monitoring;Process monitoring;Process command-line parameters;Windows event logs$
T1601,,Modify System Image,TA0005,false,Network device run-time memory;Network device configuration;File monitoring$
T1218.005,T1170,Mshta,TA0005,false,File monitoring;Process command-line parameters;Process monitoring$
T1218.007,,Msiexec,TA0005,false,DLL monitoring;Process command-line parameters;Process monitoring$
T1104,,Multi-Stage Channels,TA0011,false,Netflow/Enclave netflow;Network device logs;Network protocol analysis;Packet capture;Process use of network$
T1090.003,T1188,Multi-hop Proxy,TA0011,false,Packet capture;Network protocol analysis;Netflow/Enclave netflow$
T1026,,Multiband Communication,TA0011,false,Packet capture;Netflow/Enclave netflow;Process use of network;Malware reverse engineering;Process monitoring$
T1003.003,,NTDS,TA0006,false,Windows event logs;Process command-line parameters;PowerShell logs;Process monitoring$
T1564.004,T1096,NTFS File Attributes,TA0005,false,Process command-line parameters;API monitoring;File monitoring$
T1106,,Native API,TA0002,false,System calls;Loaded DLLs;API monitoring;Process monitoring$
T1546.007,T1128,Netsh Helper DLL,TA0004;TA0003,false,Process command-line parameters;Process monitoring;Windows Registry;DLL monitoring$
T1599.001,,Network Address Translation Traversal,TA0005,false,Netflow/Enclave netflow;Packet capture$
T1599,,Network Boundary Bridging,TA0005,false,Netflow/Enclave netflow;Packet capture$
T1498,,Network Denial of Service,TA0040,false,Sensor health and status;Network protocol analysis;Netflow/Enclave netflow;Network intrusion detection system;Network device logs$
T1556.004,,Network Device Authentication,TA0006;TA0005,false,File monitoring$
T1059.008,,Network Device CLI,TA0002,false,Network device logs;Network device run-time memory;Network device command history;Network device configuration$
T1602.002,,Network Device Configuration Dump,TA0009,false,Netflow/Enclave netflow;Network protocol analysis;Packet capture$
T1037.003,,Network Logon Script,TA0003;TA0004,false,Process monitoring;File monitoring$
T1590.006,,Network Security Appliances,TA0043,false,$
T1046,,Network Service Scanning,TA0007,false,Netflow/Enclave netflow;Network protocol analysis;Packet capture;Process command-line parameters;Process use of network$
T1070.005,T1126,Network Share Connection Removal,TA0005,false,Authentication logs;Packet capture;Process command-line parameters;Process monitoring$
T1135,,Network Share Discovery,TA0007,false,Process monitoring;Process command-line parameters;Network protocol analysis;Process use of network$
T1040,,Network Sniffing,TA0006;TA0007,false,Network device logs;Host network interface;Netflow/Enclave netflow;Process monitoring$
T1590.004,,Network Topology,TA0043,false,$
T1590.003,,Network Trust Dependencies,TA0043,false,$
T1095,,Non-Application Layer Protocol,TA0011,false,Host network interface;Netflow/Enclave netflow;Network intrusion detection system;Network protocol analysis;Packet capture;Process use of network$
T1132.002,,Non-Standard Encoding,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1571,,Non-Standard Port,TA0011,false,Process monitoring;Process use of network;Netflow/Enclave netflow;Packet capture$
T1003,,OS Credential Dumping,TA0006,false,API monitoring;Process monitoring;PowerShell logs;Process command-line parameters$
T1499.001,,OS Exhaustion Flood,TA0040,false,Network device logs;Netflow/Enclave netflow;Network intrusion detection system;SSL/TLS inspection$
T1027,,Obfuscated Files or Information,TA0005,false,Network protocol analysis;Process use of network;File monitoring;Malware reverse engineering;Binary file metadata;Process command-line parameters;Environment variable;Process monitoring;Windows event logs;Network intrusion detection system;Email gateway;SSL/TLS inspection$
T1588,,Obtain Capabilities,TA0042,false,$
T1218.008,,Odbcconf,TA0005,false,Loaded DLLs;Process command-line parameters;Process monitoring$
T1137,,Office Application Startup,TA0003,false,Mail server;Process monitoring;Process command-line parameters;Windows Registry;File monitoring$
T1137.001,,Office Template Macros,TA0003,false,Windows Registry;Process monitoring;Process command-line parameters;File monitoring$
T1137.002,,Office Test,TA0003,false,DLL monitoring;Loaded DLLs;Process monitoring;Process command-line parameters;File monitoring;Windows Registry$
T1102.003,,One-Way Communication,TA0011,false,Host network interface;Netflow/Enclave netflow;Network protocol analysis;Packet capture;SSL/TLS inspection$
T1137.003,,Outlook Forms,TA0003,false,Mail server;Process command-line parameters;Process monitoring$
T1137.004,,Outlook Home Page,TA0003,false,Mail server;Process monitoring;Process command-line parameters$
T1137.005,,Outlook Rules,TA0003,false,Mail server;Process monitoring;Process command-line parameters$
T1134.004,T1502,Parent PID Spoofing,TA0005;TA0004,false,API monitoring;Process monitoring;Windows event logs$
T1550.002,T1075,Pass the Hash,TA0005;TA0008,false,Authentication logs$
T1550.003,T1097,Pass the Ticket,TA0005;TA0008,false,Authentication logs$
T1110.002,,Password Cracking,TA0006,false,Authentication logs;Office 365 account logs$
T1556.002,T1174,Password Filter DLL,TA0006;TA0005,false,File monitoring;DLL monitoring$
T1110.001,,Password Guessing,TA0006,false,Authentication logs;Office 365 account logs$
T1201,,Password Policy Discovery,TA0007,false,Process command-line parameters;Process monitoring$
T1110.003,,Password Spraying,TA0006,false,Authentication logs;Office 365 account logs$
T1601.001,,Patch System Image,TA0005,false,Network device run-time memory;Network device configuration;File monitoring$
T1034,,Path Interception,TA0003;TA0004,false,File monitoring;Process monitoring$
T1574.007,,Path Interception by PATH Environment Variable,TA0003;TA0004;TA0005,false,Process monitoring;File monitoring$
T1574.008,,Path Interception by Search Order Hijacking,TA0003;TA0004;TA0005,false,Process monitoring;File monitoring$
T1574.009,,Path Interception by Unquoted Path,TA0003;TA0004;TA0005,false,Process monitoring;File monitoring$
T1120,,Peripheral Device Discovery,TA0007,false,PowerShell logs;API monitoring;Process monitoring;Process command-line parameters$
T1069,,Permission Groups Discovery,TA0007,false,Stackdriver logs;GCP audit logs;AWS CloudTrail logs;Azure activity logs;Office 365 account logs;API monitoring;Process monitoring;Process command-line parameters$
T1566,,Phishing,TA0001,false,File monitoring;Packet capture;Web proxy;Email gateway;Mail server;Network intrusion detection system;Detonation chamber;SSL/TLS inspection;Anti-virus$
T1598,,Phishing for Information,TA0043,false,Social media monitoring;Mail server;Email gateway$
T1547.011,T1150,Plist Modification,TA0003;TA0004,false,File monitoring;Process monitoring;Process command-line parameters$
T1556.003,,Pluggable Authentication Modules,TA0006;TA0005,false,Authentication logs;File monitoring$
T1205.001,,Port Knocking,TA0005;TA0003;TA0011,false,Netflow/Enclave netflow;Packet capture$
T1547.010,T1013,Port Monitors,TA0003;TA0004,false,File monitoring;API monitoring;DLL monitoring;Windows Registry;Process monitoring$
T1055.002,,Portable Executable Injection,TA0005;TA0004,false,Process monitoring;API monitoring$
T1059.001,T1086,PowerShell,TA0002,false,Windows event logs;Process monitoring;Process command-line parameters;PowerShell logs;Loaded DLLs;File monitoring;DLL monitoring$
T1546.013,T1504,PowerShell Profile,TA0004;TA0003,false,PowerShell logs;File monitoring;Process command-line parameters;Process monitoring$
T1542,,Pre-OS Boot,TA0005;TA0003,false,VBR;MBR;Component firmware;Process monitoring;Disk forensics;EFI;BIOS;API monitoring$
T1547.012,,Print Processors,TA0003;TA0004,false,Process monitoring;Windows Registry;File monitoring;DLL monitoring;API monitoring$
T1552.004,T1145,Private Keys,TA0006,false,File monitoring$
T1003.007,,Proc Filesystem,TA0006,false,Process monitoring$
T1055.009,,Proc Memory,TA0005;TA0004,false,Process monitoring;File monitoring$
T1057,,Process Discovery,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1055.013,T1186,Process DoppelgM-CM-$nging,TA0005;TA0004,false,File monitoring;Process monitoring;API monitoring$
T1055.012,T1093,Process Hollowing,TA0005;TA0004,false,Process monitoring;API monitoring$
T1055,,Process Injection,TA0005;TA0004,false,API monitoring;File monitoring;DLL monitoring;Process monitoring;Named Pipes$
T1001.003,,Protocol Impersonation,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1572,,Protocol Tunneling,TA0011,false,Network protocol analysis;Process monitoring;Process use of network;Netflow/Enclave netflow;Packet capture$
T1090,,Proxy,TA0011,false,SSL/TLS inspection;Process use of network;Process monitoring;Netflow/Enclave netflow;Packet capture$
T1055.008,,Ptrace System Calls,TA0005;TA0004,false,System calls;Process monitoring$
T1216.001,,PubPrn,TA0005,false,Process command-line parameters;Process monitoring$
T1597.002,,Purchase Technical Data,TA0043,false,$
T1059.006,,Python,TA0002,false,System calls;Process monitoring;Process command-line parameters;API monitoring$
T1012,,Query Registry,TA0007,false,Windows Registry;Process monitoring;Process command-line parameters$
T1563.002,,RDP Hijacking,TA0008,false,Process monitoring;Netflow/Enclave netflow;Authentication logs$
T1542.004,,ROMMONkit,TA0005;TA0003,false,File monitoring;Netflow/Enclave netflow;Network protocol analysis;Packet capture$
T1037.004,T1163,Rc.common,TA0003;TA0004,false,Process monitoring;File monitoring$
T1547.007,T1164,Re-opened Applications,TA0003;TA0004,false,File monitoring$
T1600.001,,Reduce Key Space,TA0005,false,File monitoring$
T1108,,Redundant Access,TA0005;TA0003,false,Office 365 account logs;Azure activity logs;AWS CloudTrail logs;Stackdriver logs;Process monitoring;Process use of network;Packet capture;Network protocol analysis;File monitoring;Authentication logs;Binary file metadata$
T1498.002,,Reflection Amplification,TA0040,false,Sensor health and status;Network protocol analysis;Netflow/Enclave netflow;Network intrusion detection system;Network device logs$
T1547.001,T1060,Registry Run Keys / Startup Folder,TA0003;TA0004,false,Windows Registry;File monitoring$
T1218.009,T1121,Regsvcs/Regasm,TA0005,false,Process command-line parameters;Process monitoring$
T1218.010,T1117,Regsvr32,TA0005,false,Windows Registry;Process command-line parameters;Process monitoring;Loaded DLLs$
T1219,,Remote Access Software,TA0011,false,Network intrusion detection system;Network protocol analysis;Process use of network;Process monitoring$
T1074.002,,Remote Data Staging,TA0009,false,Process command-line parameters;Process monitoring;File monitoring$
T1021.001,T1076,Remote Desktop Protocol,TA0008,false,Process monitoring;Netflow/Enclave netflow;Authentication logs$
T1114.002,,Remote Email Collection,TA0009,false,Authentication logs;Email gateway;Mail server;Office 365 trace logs$
T1563,,Remote Service Session Hijacking,TA0008,false,Process command-line parameters;Process monitoring;Netflow/Enclave netflow;Authentication logs$
T1021,,Remote Services,TA0008,false,Windows Registry;Windows event logs;Process use of network;Process monitoring;Process command-line parameters;PowerShell logs;Packet capture;Network protocol analysis;Netflow/Enclave netflow;File monitoring;DLL monitoring;Authentication logs;API monitoring$
T1018,,Remote System Discovery,TA0007,false,Network protocol analysis;Process monitoring;Process use of network;Process command-line parameters$
T1036.003,,Rename System Utilities,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;Binary file metadata$
T1091,,Replication Through Removable Media,TA0008;TA0001,false,File monitoring;Data loss prevention$
T1496,,Resource Hijacking,TA0040,false,Azure activity logs;Stackdriver logs;AWS CloudTrail logs;Process use of network;Process monitoring;Network protocol analysis;Network device logs$
T1578.004,T1536,Revert Cloud Instance,TA0005,false,Stackdriver logs;GCP audit logs;Azure activity logs;AWS CloudTrail logs$
T1036.002,,Right-to-Left Override,TA0005,false,File monitoring$
T1207,,Rogue Domain Controller,TA0005,false,API monitoring;Authentication logs;Network protocol analysis;Packet capture$
T1014,,Rootkit,TA0005,false,BIOS;MBR;System calls$
T1564.006,,Run Virtual Instance,TA0005,false,Packet capture;Host network interface;Windows Registry;File monitoring;Process monitoring;Process command-line parameters$
T1218.011,T1085,Rundll32,TA0005,false,DLL monitoring;Loaded DLLs;Process command-line parameters;Process monitoring$
T1565.003,T1494,Runtime Data Manipulation,TA0040,false,Process monitoring;File monitoring$
T1134.005,T1178,SID-History Injection,TA0005;TA0004,false,Windows event logs;Authentication logs;API monitoring$
T1553.003,T1198,SIP and Trust Provider Hijacking,TA0005,false,Windows Registry;API monitoring;Application logs;DLL monitoring;Loaded DLLs;Process monitoring;Windows Registry;Windows event logs$
T1021.002,,SMB/Windows Admin Shares,TA0008,false,Process command-line parameters;Process monitoring;Authentication logs;Process use of network$
T1602.001,,SNMP (MIB Dump),TA0009,false,Netflow/Enclave netflow;Network protocol analysis;Packet capture$
T1505.001,,SQL Stored Procedures,TA0003,false,Application logs$
T1021.004,,SSH,TA0008,false,Authentication logs;Process use of network;Network protocol analysis;Netflow/Enclave netflow$
T1098.004,,SSH Authorized Keys,TA0003,false,Process command-line parameters;Process monitoring;File monitoring$
T1563.001,T1184,SSH Hijacking,TA0008,false,Authentication logs$
T1596.005,,Scan Databases,TA0043,false,$
T1595.001,,Scanning IP Blocks,TA0043,false,Packet capture;Network device logs$
T1053.005,,Scheduled Task,TA0002;TA0003;TA0004,false,File monitoring;Process command-line parameters;Process monitoring;Windows event logs$
T1053,,Scheduled Task/Job,TA0002;TA0003;TA0004,false,File monitoring;Process monitoring;Process command-line parameters;Windows event logs$
T1029,,Scheduled Transfer,TA0010,false,Netflow/Enclave netflow;Process use of network;Process monitoring$
T1113,,Screen Capture,TA0009,false,API monitoring;Process monitoring;File monitoring$
T1546.002,T1180,Screensaver,TA0004;TA0003,false,File monitoring;Windows Registry;Process command-line parameters;Process monitoring$
T1064,,Scripting,TA0005;TA0002,false,Process monitoring;File monitoring;Process command-line parameters$
T1597,,Search Closed Sources,TA0043,false,$
T1593.002,,Search Engines,TA0043,false,$
T1596,,Search Open Technical Databases,TA0043,false,$
T1593,,Search Open Websites/Domains,TA0043,false,$
T1594,,Search Victim-Owned Websites,TA0043,false,Web logs$
T1003.002,,Security Account Manager,TA0006,false,Process command-line parameters;PowerShell logs;Process monitoring$
T1518.001,T1063,Security Software Discovery,TA0007,false,Stackdriver logs;Azure activity logs;AWS CloudTrail logs;File monitoring;Process monitoring;Process command-line parameters$
T1547.005,T1101,Security Support Provider,TA0003;TA0004,false,DLL monitoring;Windows Registry;Loaded DLLs$
T1555.002,T1167,Securityd Memory,TA0006,false,Process monitoring$
T1583.004,,Server,TA0042,false,$
T1584.004,,Server,TA0042,false,$
T1505,,Server Software Component,TA0003,false,Netflow/Enclave netflow;Process monitoring;File monitoring;Application logs$
T1569.002,T1035,Service Execution,TA0002,false,Windows Registry;Process monitoring;Process command-line parameters$
T1499.002,,Service Exhaustion Flood,TA0040,false,Netflow/Enclave netflow;Network device logs;Network intrusion detection system;Web application firewall logs;Web logs;SSL/TLS inspection$
T1489,,Service Stop,TA0040,false,File monitoring;Process command-line parameters;Process monitoring;Windows Registry;API monitoring$
T1574.010,,Services File Permissions Weakness,TA0003;TA0004;TA0005,false,Process command-line parameters;Services;File monitoring$
T1574.011,,Services Registry Permissions Weakness,TA0003;TA0004;TA0005,false,Windows Registry;Services;Process command-line parameters$
T1548.001,T1166,Setuid and Setgid,TA0004;TA0005,false,File monitoring;Process monitoring;Process command-line parameters$
T1129,,Shared Modules,TA0002,false,API monitoring;DLL monitoring;File monitoring;Process monitoring$
T1051,,Shared Webroot,TA0008,false,File monitoring;Process monitoring$
T1213.002,,Sharepoint,TA0009,false,Office 365 audit logs;Authentication logs;Application logs$
T1547.009,T1023,Shortcut Modification,TA0003;TA0004,false,File monitoring;Process monitoring;Process command-line parameters$
T1218,,Signed Binary Proxy Execution,TA0005,false,API monitoring;File monitoring;Binary file metadata;Process use of network;Windows Registry;Loaded DLLs;DLL monitoring;Process monitoring;Process command-line parameters$
T1216,,Signed Script Proxy Execution,TA0005,false,Process monitoring;Process command-line parameters$
T1558.002,,Silver Ticket,TA0006,false,Authentication logs;Windows event logs$
T1593.001,,Social Media,TA0043,false,$
T1585.001,,Social Media Accounts,TA0042,false,Social media monitoring$
T1586.001,,Social Media Accounts,TA0042,false,Social media monitoring$
T1592.002,,Software,TA0043,false,$
T1072,,Software Deployment Tools,TA0002;TA0008,false,Authentication logs;File monitoring;Third-party application logs;Windows Registry;Process monitoring;Process use of network;Binary file metadata$
T1518,,Software Discovery,TA0007,false,Stackdriver logs;Azure activity logs;AWS CloudTrail logs;Process command-line parameters;Process monitoring;File monitoring$
T1027.002,T1045,Software Packing,TA0005,false,Binary file metadata$
T1153,,Source,TA0002,false,Process monitoring;File monitoring;Process command-line parameters$
T1036.006,T1151,Space after Filename,TA0005,false,File monitoring;Process monitoring$
T1566.001,T1193,Spearphishing Attachment,TA0001,false,File monitoring;Packet capture;Network intrusion detection system;Detonation chamber;Email gateway;Mail server$
T1598.002,,Spearphishing Attachment,TA0043,false,Mail server;Email gateway$
T1566.002,T1192,Spearphishing Link,TA0001,false,Packet capture;Web proxy;Email gateway;Detonation chamber;SSL/TLS inspection;DNS records;Mail server$
T1598.003,,Spearphishing Link,TA0043,false,Mail server;Email gateway$
T1598.001,,Spearphishing Service,TA0043,false,$
T1566.003,T1194,Spearphishing via Service,TA0001,false,SSL/TLS inspection;Anti-virus;Web proxy$
T1132.001,,Standard Encoding,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1037.005,T1165,Startup Items,TA0003;TA0004,false,File monitoring;Process monitoring$
T1528,,Steal Application Access Token,TA0006,false,Azure activity logs;OAuth audit logs$
T1539,,Steal Web Session Cookie,TA0006,false,File monitoring;API monitoring$
T1558,,Steal or Forge Kerberos Tickets,TA0006,false,Windows event logs;Authentication logs$
T1027.003,,Steganography,TA0005,false,Binary file metadata$
T1001.002,,Steganography,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1565.001,T1492,Stored Data Manipulation,TA0040,false,File monitoring;Application logs$
T1553,,Subvert Trust Controls,TA0005,false,Binary file metadata;File monitoring;Process command-line parameters;Process monitoring;API monitoring;Application logs;DLL monitoring;Loaded DLLs;Windows Registry;Windows event logs$
T1548.003,,Sudo and Sudo Caching,TA0004;TA0005,false,File monitoring;Process command-line parameters$
T1195,,Supply Chain Compromise,TA0001,false,Web proxy;File monitoring$
T1573.001,,Symmetric Cryptography,TA0011,false,SSL/TLS inspection;Process monitoring;Process use of network;Malware reverse engineering;Netflow/Enclave netflow;Packet capture$
T1497.001,,System Checks,TA0005;TA0007,false,Process command-line parameters;Process monitoring$
T1542.001,T1019,System Firmware,TA0003;TA0005,false,EFI;BIOS;API monitoring$
T1082,,System Information Discovery,TA0007,false,Azure activity logs;Stackdriver logs;AWS CloudTrail logs;Process monitoring;Process command-line parameters$
T1016,,System Network Configuration Discovery,TA0007,false,Process monitoring;Process command-line parameters$
T1049,,System Network Connections Discovery,TA0007,false,Process monitoring;Process command-line parameters$
T1033,,System Owner/User Discovery,TA0007,false,File monitoring;Process monitoring;Process command-line parameters$
T1007,,System Service Discovery,TA0007,false,Process monitoring;Process command-line parameters$
T1569,,System Services,TA0002,false,Windows Registry;Process command-line parameters;Process monitoring;File monitoring$
T1529,,System Shutdown/Reboot,TA0040,false,Windows event logs;Process command-line parameters;Process monitoring$
T1124,,System Time Discovery,TA0007,false,Process monitoring;Process command-line parameters;API monitoring$
T1543.002,T1501,Systemd Service,TA0003;TA0004,false,Process command-line parameters;Process monitoring;File monitoring$
T1053.006,,Systemd Timers,TA0002;TA0003;TA0004,false,File monitoring;Process monitoring;Process command-line parameters$
T1542.005,,TFTP Boot,TA0005;TA0003,false,Network device run-time memory;Network device command history;Network device configuration;File monitoring;Network device logs$
T1080,,Taint Shared Content,TA0008,false,File monitoring;Process monitoring$
T1221,,Template Injection,TA0005,false,Anti-virus;Email gateway;Network intrusion detection system;Web logs$
T1055.003,,Thread Execution Hijacking,TA0005;TA0004,false,Process monitoring;API monitoring$
T1055.005,,Thread Local Storage,TA0005;TA0004,false,Process monitoring;API monitoring$
T1597.001,,Threat Intel Vendors,TA0043,false,$
T1497.003,,Time Based Evasion,TA0005;TA0007,false,Process monitoring;Process command-line parameters$
T1547.003,T1209,Time Providers,TA0003;TA0004,false,API monitoring;Binary file metadata;DLL monitoring;File monitoring;Loaded DLLs;Process monitoring$
T1070.006,T1099,Timestomp,TA0005,false,Process command-line parameters;Process monitoring;File monitoring$
T1134.001,,Token Impersonation/Theft,TA0005;TA0004,false,Process command-line parameters;Process monitoring;Access tokens;API monitoring$
T1588.002,,Tool,TA0042,false,$
T1020.001,,Traffic Duplication,TA0010,false,Netflow/Enclave netflow;Packet capture;Network protocol analysis$
T1205,,Traffic Signaling,TA0005;TA0003;TA0011,false,Packet capture;Netflow/Enclave netflow$
T1537,,Transfer Data to Cloud Account,TA0010,false,Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1565.002,T1493,Transmitted Data Manipulation,TA0040,false,Packet capture;Network protocol analysis$
T1505.002,,Transport Agent,TA0003,false,Application logs;File monitoring$
T1546.005,T1154,Trap,TA0004;TA0003,false,Process command-line parameters;Process monitoring;File monitoring$
T1127,,Trusted Developer Utilities Proxy Execution,TA0005,false,File monitoring;Process monitoring$
T1199,,Trusted Relationship,TA0001,false,Azure activity logs;Stackdriver logs;AWS CloudTrail logs;Application logs;Authentication logs;Third-party application logs$
T1111,,Two-Factor Authentication Interception,TA0006,false,API monitoring;Process monitoring;Kernel drivers$
T1059.004,,Unix Shell,TA0002,false,File monitoring;Process monitoring;Process command-line parameters$
T1552,,Unsecured Credentials,TA0006,false,Azure activity logs;Authentication logs;AWS CloudTrail logs;Windows event logs;File monitoring;Windows Registry;Process monitoring;Process command-line parameters$
T1535,,Unused/Unsupported Cloud Regions,TA0005,false,Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1550,,Use Alternate Authentication Material,TA0005;TA0008,false,Office 365 audit logs;OAuth audit logs;Authentication logs$
T1497.002,,User Activity Based Checks,TA0005;TA0007,false,Process command-line parameters;Process use of network$
T1204,,User Execution,TA0002,false,Anti-virus;Process command-line parameters;Process monitoring$
T1564.007,,VBA Stomping,TA0005,false,Process monitoring;File monitoring$
T1055.014,,VDSO Hijacking,TA0005;TA0004,false,System calls;Process monitoring$
T1021.005,,VNC,TA0008,false,Process use of network;Network protocol analysis;Netflow/Enclave netflow$
T1078,,Valid Accounts,TA0005;TA0003;TA0004;TA0001,false,AWS CloudTrail logs;Stackdriver logs;Authentication logs;Process monitoring$
T1218.012,,Verclsid,TA0005,false,Process use of network;Process command-line parameters;Process monitoring;File monitoring$
T1125,,Video Capture,TA0009,false,Process monitoring;File monitoring;API monitoring$
T1583.003,,Virtual Private Server,TA0042,false,$
T1584.003,,Virtual Private Server,TA0042,false,$
T1497,,Virtualization/Sandbox Evasion,TA0005;TA0007,false,Process monitoring;Process command-line parameters$
T1059.005,,Visual Basic,TA0002,false,DLL monitoring;Loaded DLLs;File monitoring;Process monitoring;Process command-line parameters$
T1588.006,,Vulnerabilities,TA0042,false,$
T1595.002,,Vulnerability Scanning,TA0043,false,Packet capture;Network device logs$
T1596.002,,WHOIS,TA0043,false,$
T1600,,Weaken Encryption,TA0005,false,File monitoring$
T1056.003,,Web Portal Capture,TA0009;TA0006,false,File monitoring$
T1071.001,,Web Protocols,TA0011,false,Network protocol analysis;Process monitoring;Process use of network;Netflow/Enclave netflow;Packet capture$
T1102,,Web Service,TA0011,false,Host network interface;Netflow/Enclave netflow;Network protocol analysis;Packet capture;SSL/TLS inspection$
T1583.006,,Web Services,TA0042,false,$
T1584.006,,Web Services,TA0042,false,$
T1550.004,T1506,Web Session Cookie,TA0005;TA0008,false,Office 365 audit logs;Authentication logs$
T1505.003,T1100,Web Shell,TA0003,false,Process monitoring;Netflow/Enclave netflow;File monitoring;Authentication logs$
T1059.003,,Windows Command Shell,TA0002,false,Windows event logs;Process command-line parameters;Process monitoring$
T1222.001,,Windows File and Directory Permissions Modification,TA0005,false,Windows event logs;Process command-line parameters;Process monitoring;File monitoring$
T1047,,Windows Management Instrumentation,TA0002,false,Authentication logs;Netflow/Enclave netflow;Process monitoring;Process command-line parameters$
T1546.003,T1084,Windows Management Instrumentation Event Subscription,TA0004;TA0003,false,Process command-line parameters;Process monitoring;WMI Objects$
T1021.006,T1028,Windows Remote Management,TA0008,false,Process command-line parameters;Process monitoring;Netflow/Enclave netflow;Authentication logs;File monitoring$
T1543.003,,Windows Service,TA0003;TA0004,false,API monitoring;Windows event logs;Process command-line parameters;Process monitoring;File monitoring;Windows Registry$
T1547.004,T1004,Winlogon Helper DLL,TA0003;TA0004,false,Windows Registry;File monitoring;Process monitoring$
T1220,,XSL Script Processing,TA0005,false,Process monitoring;Process command-line parameters;Process use of network;DLL monitoring$
T1098.001,,Additional Cloud Credentials,TA0003,false,Stackdriver logs;GCP audit logs;AWS CloudTrail logs;Azure activity logs$
T1484,,Domain Policy Modification,TA0005;TA0004,false,PowerShell logs;Process command-line parameters;Process monitoring;Azure activity logs;Windows event logs$
T1484.001,,Group Policy Modification,TA0005;TA0004,false,Windows event logs$
T1484.002,,Domain Trust Modification,TA0005;TA0004,false,Windows event logs;PowerShell logs;Azure activity logs$
T1606,,Forge Web Credentials,TA0006,false,Web logs;Authentication logs$
T1606.001,,Web Cookies,TA0006,false,Web logs;Authentication logs$
T1606.002,,SAML Tokens,TA0006,false,Windows event logs;Authentication logs$
T1156,,.bash_profile and .bashrc,,true,$
T1015,,Accessibility Features,,true,$
T1182,,AppCert DLLs,,true,$
T1103,,AppInit DLLs,,true,$
T1155,,AppleScript,,true,$
T1527,,Application Access Token,,true,$
T1017,,Application Deployment Software,,true,$
T1138,,Application Shimming,,true,$
T1131,,Authentication Package,,true,$
T1139,,Bash History,,true,$
T1009,,Binary Padding,,true,$
T1067,,Bootkit,,true,$
T1088,,Bypass User Account Control,,true,$
T1191,,CMSTP,,true,$
T1042,,Change Default File Association,,true,$
T1146,,Clear Command History,,true,$
T1522,,Cloud Instance Metadata API,,true,$
T1116,,Code Signing,,true,$
T1500,,Compile After Delivery,,true,$
T1223,,Compiled HTML File,,true,$
T1109,,Component Firmware,,true,$
T1122,,Component Object Model Hijacking,,true,$
T1196,,Control Panel Items,,true,$
T1503,,Credentials from Web Browsers,,true,$
T1081,,Credentials in Files,,true,$
T1214,,Credentials in Registry,,true,$
T1094,,Custom Command and Control Protocol,,true,$
T1024,,Custom Cryptographic Protocol,,true,$
T1038,,DLL Search Order Hijacking,,true,$
T1073,,DLL Side-Loading,,true,$
T1002,,Data Compressed,,true,$
T1022,,Data Encrypted,,true,$
T1089,,Disabling Security Tools,,true,$
T1488,,Disk Content Wipe,,true,$
T1487,,Disk Structure Wipe,,true,$
T1172,,Domain Fronting,,true,$
T1483,,Domain Generation Algorithms,,true,$
T1157,,Dylib Hijacking,,true,$
T1173,,Dynamic Data Exchange,,true,$
T1514,,Elevated Execution with Prompt,,true,$
T1519,,Emond,,true,$
T1181,,Extra Window Memory Injection,,true,$
T1107,,File Deletion,,true,$
T1044,,File System Permissions Weakness,,true,$
T1144,,Gatekeeper Bypass,,true,$
T1148,,HISTCONTROL,,true,$
T1158,,Hidden Files and Directories,,true,$
T1147,,Hidden Users,,true,$
T1143,,Hidden Window,,true,$
T1179,,Hooking,,true,$
T1183,,Image File Execution Options Injection,,true,$
T1054,,Indicator Blocking,,true,$
T1066,,Indicator Removal from Tools,,true,$
T1141,,Input Prompt,,true,$
T1130,,Install Root Certificate,,true,$
T1118,,InstallUtil,,true,$
T1208,,Kerberoasting,,true,$
T1215,,Kernel Modules and Extensions,,true,$
T1142,,Keychain,,true,$
T1161,,LC_LOAD_DYLIB Addition,,true,$
T1171,,LLMNR/NBT-NS Poisoning and Relay,,true,$
T1177,,LSASS Driver,,true,$
